41701327	dietary-antioxidants.md	592	18756	2026 Dec 31	International Society of Sports Nutrition position stand: effects of dietary antioxidants on exercise and sports performance
40059405	weight-cutting-strategies.md	209	23810	2025 Dec	International society of sports nutrition position stand: nutrition and weight cut strategies for mixed martial arts and other combat sports
39810703	omega-3.md	240	12205	2025 Dec	International Society of Sports Nutrition Position Stand: Long-Chain Omega-3 Polyunsaturated Fatty Acids
39699070	hmb-2025.md	186	12474	2025 Dec	International society of sports nutrition position stand: β-hydroxy-β-methylbutyrate (HMB)
38934469	ketogenic-diets.md	149	11040	2024 Dec	International society of sports nutrition position stand: ketogenic diets
37800468	essential-amino-acids.md	127	8038	2023 Dec	International Society of Sports Nutrition Position Stand: Effects of essential amino acid supplementation on exercise and performance
37498180	coffee.md	246	15904	2023 Dec	International society of sports nutrition position stand: coffee and sports performance
37221858	female-athlete.md	325	11453	2023 Dec	International society of sports nutrition position stand: nutritional concerns of the female athlete
36862943	energy-drinks-2023.md	249	24767	2023 Dec	International society of sports nutrition position stand: energy drinks and energy shots
35813846	tactical-athlete.md	329	17183	2022	International society of sports nutrition position stand: tactical athlete nutrition
34503527	sodium-bicarbonate.md	231	21541	2021 Sep 9	International Society of Sports Nutrition position stand: sodium bicarbonate and exercise performance
33388079	caffeine-2021.md	420	21842	2021 Jan 2	International society of sports nutrition position stand: caffeine and exercise performance
31699159	ultra-marathon.md	197	12640	2019 Nov 7	International Society of Sports Nutrition Position Stand: nutritional considerations for single-stage ultra-marathon training and racing
31864419	probiotics.md	299	25422	2019 Dec 21	International Society of Sports Nutrition Position Stand: Probiotics
30068354	issn-review-update-2018.md	738	33652	2018 Aug 1	ISSN exercise & sports nutrition review update: research & recommendations
28919842	nutrient-timing-2017.md	175	12946	2017	International society of sports nutrition position stand: nutrient timing
28642676	protein-2017.md	224	16303	2017	International Society of Sports Nutrition Position Stand: protein and exercise
28630601	diets-and-body-composition.md	146	12255	2017	International society of sports nutrition position stand: diets and body composition
28615996	creatine-2017.md	269	8376	2017	International Society of Sports Nutrition position stand: safety and efficacy of creatine supplementation in exercise, sport, and medicine
26175657	beta-alanine.md	113	6848	2015	International society of sports nutrition position stand: Beta-Alanine
23281794	energy-drinks-2013.md	224	6684	2013 Jan 3	International Society of Sports Nutrition position stand: energy drinks
23374455	hmb-2013.md	82	6731	2013 Feb 2	International Society of Sports Nutrition Position Stand: beta-hydroxy-beta-methylbutyrate (HMB)
21410984	meal-frequency.md	88	5951	2011 Mar 16	International Society of Sports Nutrition position stand: meal frequency
20205813	caffeine-2010.md	97	9590	2010 Jan 27	International society of sports nutrition position stand: caffeine and performance
18834505	nutrient-timing-2008.md	102	7054	2008 Oct 3	International Society of Sports Nutrition position stand: nutrient timing
17908291	protein-2007.md	64	3479	2007 Sep 26	International Society of Sports Nutrition position stand: protein and exercise
17908288	creatine-2007.md	100	3922	2007 Aug 30	International Society of Sports Nutrition position stand: creatine supplementation and exercise
